,id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,greenbelt,nuisance,view,condition,grade,heat_source,sewer_system,sqft_above,sqft_basement,sqft_garage,sqft_patio,yr_built,yr_renovated,address,lat,long,postal_code,grade_code,condition_code,price_sqft
21,2310000170,2/28/2022,750000.0,3,2.0,1590,7754,1.0,NO,YES,NO,NONE,Good,7 Average,Gas,PUBLIC,1200,700,440,0,1990,0,"27307 226th Avenue Southeast, Maple Valley, Washington 98038, United States",47.35706500000001,-122.04067,98038,7,4,471.6981132075472
25,2095600170,10/8/2021,580000.0,3,3.0,2020,4482,1.0,NO,NO,NO,NONE,Average,7 Average,Gas,PUBLIC,1370,1250,600,120,1992,0,"22609 102nd Place Southeast, Kent, Washington 98031, United States",47.39947,-122.20413,98031,7,3,287.1287128712871
26,8682282030,5/4/2022,2000000.0,3,3.0,2700,7694,1.0,NO,NO,NO,NONE,Average,9 Better,Gas,PUBLIC,2700,0,530,640,2006,0,"23837 NE Adair Rd, Redmond, Washington 98053, United States",47.70876,-122.02073,98053,9,3,740.7407407407408
34,5727500011,11/3/2021,785000.0,3,2.0,1350,7354,1.0,NO,NO,YES,NONE,Very Good,7 Average,Electricity,PUBLIC,1350,0,460,120,1985,0,"16710 Meridian Avenue North, Shoreline, Washington 98133, United States",47.75102,-122.33447,98133,7,5,581.4814814814815
39,1421059003,8/25/2021,1680000.0,3,2.5,5200,206039,1.0,NO,NO,NO,NONE,Average,10 Very Good,Gas,PRIVATE,3170,2030,1080,670,2007,0,"15916 Southeast 326th Street, Auburn, Washington 98092, United States",47.310595,-122.12938,98092,10,3,323.0769230769231
41,1494300080,3/16/2022,1600000.0,3,2.5,1790,17799,1.0,NO,NO,NO,NONE,Good,7 Average,Gas,PUBLIC,1300,1030,480,170,1981,0,"8501 169th Court Northeast, Redmond, Washington 98052, United States",47.678755,-122.11522,98052,7,4,893.8547486033519
63,8682321450,7/29/2021,1500000.0,2,2.5,2170,9714,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,2170,0,580,460,2009,0,"12643 237th Way Northeast, Redmond, Washington 98053, United States",47.712125,-122.023085,98053,8,3,691.2442396313364
65,2540830020,9/16/2021,905000.0,3,2.5,1630,6449,1.0,NO,NO,NO,NONE,Good,7 Average,Electricity,PUBLIC,1310,640,510,80,1986,0,"14037 82nd Place Northeast, Kirkland, Washington 98034, United States",47.727545,-122.231665,98034,7,4,555.2147239263803
93,721069063,6/21/2021,742000.0,4,3.0,2190,40500,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PRIVATE,1250,1250,570,510,1980,0,"19030 Southeast 320th Street, Kent, Washington 98042, United States",47.31515,-122.08848,98042,7,5,338.81278538812785
95,8682280290,7/2/2021,825000.0,2,2.0,1510,3767,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,1510,0,480,430,2006,0,"24322 NE Vine Maple Way, Redmond, Washington 98053, United States",47.70288,-122.014545,98053,8,3,546.3576158940398
122,8016200220,3/25/2022,665000.0,3,2.0,1890,7366,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1890,0,440,0,1991,0,"26261 131st Place Southeast, Kent, Washington 98030, United States",47.36573,-122.16645,98030,8,3,351.85185185185185
141,2310000120,6/23/2021,597388.0,3,2.5,1590,7316,1.0,NO,YES,NO,NONE,Average,7 Average,Gas,PUBLIC,1200,700,440,120,1990,0,"27409 226th Avenue Southeast, Maple Valley, Washington 98038, United States",47.356245,-122.040815,98038,7,3,375.71572327044026
142,3902300500,6/25/2021,1550000.0,3,3.0,2350,8500,1.0,NO,NO,NO,NONE,Average,8 Good,Gas,PUBLIC,1470,1380,500,600,1980,2007,"11628 Northeast 102nd Place, Kirkland, Washington 98033, United States",47.69202,-122.18536,98033,8,3,659.5744680851063
164,522079027,7/17/2021,990000.0,3,3.0,1730,38884,1.0,NO,NO,NO,NONE,Good,8 Good,Electricity,PRIVATE,1730,0,1180,0,1997,0,"29448 Southeast 208th Street, Maple Valley, Washington 98038, United States",47.4164,-121.95056,98038,8,4,572.2543352601156
174,192460390,9/22/2021,600000.0,3,1.5,1140,19383,1.0,NO,NO,YES,NONE,Average,7 Average,Electricity,PRIVATE,1140,0,340,0,1986,0,"43607 Southeast 136th Street, North Bend, Washington 98045, United States",47.47753,-121.75788,98045,7,3,526.3157894736842
177,8682281610,3/10/2022,1360000.0,2,2.0,1680,4624,1.0,NO,YES,NO,NONE,Average,8 Good,Gas,PUBLIC,1680,0,440,200,2006,0,"12367 Adair Creek Way Northeast, Redmond, Washington 98053, United States",47.70887000000001,-122.01673999999998,98053,8,3,809.5238095238095
180,4127000385,8/31/2021,1133000.0,3,2.5,2520,29183,1.0,NO,NO,NO,AVERAGE,Average,9 Better,Gas,PUBLIC,2520,0,830,650,1995,0,"23033 Southeast Lake Wilderness Drive South, Maple Valley, Washington 98038, United States",47.369705,-122.033435,98038,9,3,449.6031746031746
183,1545808260,1/25/2022,640000.0,3,2.0,1700,8100,1.0,NO,NO,NO,NONE,Average,7 Average,Electricity,PUBLIC,1200,1100,600,100,1980,0,"22042 Southeast 269th Place, Maple Valley, Washington 98038, United States",47.36044,-122.046335,98038,7,3,376.47058823529414
193,5647900050,9/10/2021,450000.0,3,2.5,1910,8768,1.0,NO,NO,NO,NONE,Very Good,7 Average,Gas,PUBLIC,1280,1200,570,130,1980,0,"2221 W Street Northwest, Auburn, Washington 98001, United States",47.32775,-122.2601,98001,7,5,235.6020942408377
